:START_ID,:TYPE,:END_ID
4001,04_KNOWS,4003
4003,04_KNOWS,4006
4003,04_KNOWS,4007
4004,04_KNOWS,4008
4005,04_KNOWS,4010
4005,04_KNOWS,4011
4006,04_KNOWS,4013
4007,04_KNOWS,4015
4008,04_KNOWS,4016
4008,04_KNOWS,4017
4010,04_KNOWS,4020
4010,04_KNOWS,4021
4011,04_KNOWS,4023
4012,04_KNOWS,4024
4013,04_KNOWS,4001
4013,04_KNOWS,4005
4014,04_KNOWS,4008
4014,04_KNOWS,4012
4015,04_KNOWS,4016
4016,04_KNOWS,4018
4017,04_KNOWS,4004
4017,04_KNOWS,4022
4018,04_KNOWS,4010
4020,04_KNOWS,4011
4020,04_KNOWS,4006
4021,04_KNOWS,4014
4021,04_KNOWS,4009
4022,04_KNOWS,4013
4023,04_KNOWS,4025
4024,04_KNOWS,4020
4025,04_KNOWS,4015
4003,04_KNOWS,4001
4006,04_KNOWS,4003
4007,04_KNOWS,4003
4009,04_KNOWS,4004
4010,04_KNOWS,4005
4011,04_KNOWS,4005
4012,04_KNOWS,4006
4013,04_KNOWS,4006
4015,04_KNOWS,4007
4016,04_KNOWS,4008
4017,04_KNOWS,4008
4018,04_KNOWS,4009
4020,04_KNOWS,4010
4021,04_KNOWS,4010
4023,04_KNOWS,4011
4024,04_KNOWS,4012
4025,04_KNOWS,4012
4005,04_KNOWS,4013
4008,04_KNOWS,4014
4012,04_KNOWS,4014
4016,04_KNOWS,4015
4020,04_KNOWS,4015
4018,04_KNOWS,4016
4022,04_KNOWS,4017
4010,04_KNOWS,4018
4011,04_KNOWS,4020
4006,04_KNOWS,4020
4014,04_KNOWS,4021
4009,04_KNOWS,4021
4013,04_KNOWS,4022
4025,04_KNOWS,4023
4001,04_KNOWS,4024
4020,04_KNOWS,4024
4015,04_KNOWS,4025
4001,04_IS_AUTHOR_OF,4028
4003,04_IS_AUTHOR_OF,4028
4005,04_IS_AUTHOR_OF,4028
4006,04_IS_AUTHOR_OF,4029
4004,04_IS_AUTHOR_OF,4030
4008,04_IS_AUTHOR_OF,4030
4007,04_IS_AUTHOR_OF,4031
4012,04_IS_AUTHOR_OF,4031
4009,04_IS_AUTHOR_OF,4032
4015,04_IS_AUTHOR_OF,4032
4010,04_IS_AUTHOR_OF,4033
4011,04_IS_AUTHOR_OF,4033

