:START_ID,:TYPE,description,:END_ID
10005,10_DIRECTED,,10000
10005,10_DIRECTED,,10001
10005,10_DIRECTED,,10002
10005,10_DIRECTED,,10003
10005,10_DIRECTED,,10004

10006,10_ACTED_IN,,10000
10007,10_ACTED_IN,,10001
10009,10_ACTED_IN,,10001
10009,10_ACTED_IN,,10003
10008,10_ACTED_IN,,10002

10007,10_WOM,Bester Hauptdarsteller,10010
10008,10_WOM,Bester Hauptdarsteller,10010
10007,10_WOM,Bester Hauptdarsteller,10011
10009,10_WOM,Bester Nebendarsteller,10012

10007,10_NOMINATED_FOR,Bester Hauptdarsteller,10012
10009,10_NOMINATED_FOR,Bester Nebendarsteller,10010
10008,10_NOMINATED_FOR,Bester Hauptdarsteller,10013
