:START_ID,:TYPE,:END_ID
author_1,AFFILIATED_WITH,inst_0_0
author_2,AFFILIATED_WITH,inst_0_1
author_3,AFFILIATED_WITH,inst_0_2
author_4,AFFILIATED_WITH,inst_0_3
author_5,AFFILIATED_WITH,inst_0_4
author_6,AFFILIATED_WITH,inst_0_5
author_7,AFFILIATED_WITH,inst_0_6
author_8,AFFILIATED_WITH,inst_1_0
author_9,AFFILIATED_WITH,inst_1_1
author_10,AFFILIATED_WITH,inst_1_2
author_11,AFFILIATED_WITH,inst_1_3
author_12,AFFILIATED_WITH,inst_1_4
author_13,AFFILIATED_WITH,inst_1_5
author_14,AFFILIATED_WITH,inst_1_6
author_15,AFFILIATED_WITH,inst_2_0
author_16,AFFILIATED_WITH,inst_2_1
author_17,AFFILIATED_WITH,inst_2_2
author_18,AFFILIATED_WITH,inst_2_3
author_19,AFFILIATED_WITH,inst_2_4
author_20,AFFILIATED_WITH,inst_2_5
author_21,AFFILIATED_WITH,inst_2_6
author_22,AFFILIATED_WITH,inst_0_0
author_23,AFFILIATED_WITH,inst_0_1
author_24,AFFILIATED_WITH,inst_0_2
author_25,AFFILIATED_WITH,inst_0_3
author_26,AFFILIATED_WITH,inst_0_4
author_27,AFFILIATED_WITH,inst_0_5
author_28,AFFILIATED_WITH,inst_0_6
author_29,AFFILIATED_WITH,inst_1_0
author_30,AFFILIATED_WITH,inst_1_1
author_1,COLLABORATES_WITH,author_2
author_2,COLLABORATES_WITH,author_3
author_3,COLLABORATES_WITH,author_4
author_4,COLLABORATES_WITH,author_5
author_5,COLLABORATES_WITH,author_6
author_6,COLLABORATES_WITH,author_7
author_7,COLLABORATES_WITH,author_8
author_8,COLLABORATES_WITH,author_9
author_9,COLLABORATES_WITH,author_10
author_10,COLLABORATES_WITH,author_11
author_11,COLLABORATES_WITH,author_12
author_12,COLLABORATES_WITH,author_13
author_13,COLLABORATES_WITH,author_14
author_14,COLLABORATES_WITH,author_15
author_15,COLLABORATES_WITH,author_16
author_16,COLLABORATES_WITH,author_17
author_17,COLLABORATES_WITH,author_18
author_18,COLLABORATES_WITH,author_19
author_19,COLLABORATES_WITH,author_20
author_20,COLLABORATES_WITH,author_21
author_21,COLLABORATES_WITH,author_22
author_22,COLLABORATES_WITH,author_23
author_23,COLLABORATES_WITH,author_24
author_24,COLLABORATES_WITH,author_25
author_25,COLLABORATES_WITH,author_26
author_26,COLLABORATES_WITH,author_27
author_27,COLLABORATES_WITH,author_28
author_28,COLLABORATES_WITH,author_29
author_29,COLLABORATES_WITH,author_30
author_1,SELF_CITES,author_1
author_6,SELF_CITES,author_6
author_11,SELF_CITES,author_11
author_16,SELF_CITES,author_16
author_21,SELF_CITES,author_21
author_26,SELF_CITES,author_26
