:START_ID,:TYPE,:END_ID
inst_0_0,PARTNERS_WITH,inst_0_1
inst_0_1,PARTNERS_WITH,inst_0_2
inst_0_2,PARTNERS_WITH,inst_0_3
inst_0_3,PARTNERS_WITH,inst_0_4
inst_0_4,PARTNERS_WITH,inst_0_5
inst_0_5,PARTNERS_WITH,inst_0_6
inst_0_6,PARTNERS_WITH,inst_1_0
inst_1_0,PARTNERS_WITH,inst_1_1
inst_1_1,PARTNERS_WITH,inst_1_2
inst_1_2,PARTNERS_WITH,inst_1_3
inst_1_3,PARTNERS_WITH,inst_1_4
inst_1_4,PARTNERS_WITH,inst_1_5
inst_1_5,PARTNERS_WITH,inst_1_6
inst_1_6,PARTNERS_WITH,inst_2_0
inst_2_0,PARTNERS_WITH,inst_2_1
inst_2_1,PARTNERS_WITH,inst_2_2
inst_2_2,PARTNERS_WITH,inst_2_3
inst_2_3,PARTNERS_WITH,inst_2_4
inst_2_4,PARTNERS_WITH,inst_2_5
inst_2_5,PARTNERS_WITH,inst_2_6
