:START_ID,:TYPE,:END_ID
author_1,AUTHORED,work_1
author_2,AUTHORED,work_2
author_3,AUTHORED,work_2
author_3,AUTHORED,work_3
author_4,AUTHORED,work_3
author_5,AUTHORED,work_3
author_4,AUTHORED,work_4
author_5,AUTHORED,work_5
author_6,AUTHORED,work_5
author_6,AUTHORED,work_6
author_7,AUTHORED,work_6
author_8,AUTHORED,work_6
author_7,AUTHORED,work_7
author_8,AUTHORED,work_8
author_9,AUTHORED,work_8
author_9,AUTHORED,work_9
author_10,AUTHORED,work_9
author_11,AUTHORED,work_9
author_10,AUTHORED,work_10
author_11,AUTHORED,work_11
author_12,AUTHORED,work_11
author_12,AUTHORED,work_12
author_13,AUTHORED,work_12
author_14,AUTHORED,work_12
author_13,AUTHORED,work_13
author_14,AUTHORED,work_14
author_15,AUTHORED,work_14
author_15,AUTHORED,work_15
author_16,AUTHORED,work_15
author_17,AUTHORED,work_15
author_16,AUTHORED,work_16
author_17,AUTHORED,work_17
author_18,AUTHORED,work_17
author_18,AUTHORED,work_18
author_19,AUTHORED,work_18
author_20,AUTHORED,work_18
author_19,AUTHORED,work_19
author_20,AUTHORED,work_20
author_21,AUTHORED,work_20
author_21,AUTHORED,work_21
author_22,AUTHORED,work_21
author_23,AUTHORED,work_21
author_22,AUTHORED,work_22
author_23,AUTHORED,work_23
author_24,AUTHORED,work_23
author_24,AUTHORED,work_24
author_25,AUTHORED,work_24
author_26,AUTHORED,work_24
author_25,AUTHORED,work_25
author_26,AUTHORED,work_26
author_27,AUTHORED,work_26
author_27,AUTHORED,work_27
author_28,AUTHORED,work_27
author_29,AUTHORED,work_27
author_28,AUTHORED,work_28
author_29,AUTHORED,work_29
author_30,AUTHORED,work_29
author_30,AUTHORED,work_30
author_1,AUTHORED,work_30
author_2,AUTHORED,work_30
author_1,AUTHORED,work_31
author_2,AUTHORED,work_32
author_3,AUTHORED,work_32
author_3,AUTHORED,work_33
author_4,AUTHORED,work_33
author_5,AUTHORED,work_33
author_4,AUTHORED,work_34
author_5,AUTHORED,work_35
author_6,AUTHORED,work_35
author_6,AUTHORED,work_36
author_7,AUTHORED,work_36
author_8,AUTHORED,work_36
author_7,AUTHORED,work_37
author_8,AUTHORED,work_38
author_9,AUTHORED,work_38
author_9,AUTHORED,work_39
author_10,AUTHORED,work_39
author_11,AUTHORED,work_39
author_10,AUTHORED,work_40
author_11,AUTHORED,work_41
author_12,AUTHORED,work_41
author_12,AUTHORED,work_42
author_13,AUTHORED,work_42
author_14,AUTHORED,work_42
author_13,AUTHORED,work_43
author_14,AUTHORED,work_44
author_15,AUTHORED,work_44
author_15,AUTHORED,work_45
author_16,AUTHORED,work_45
author_17,AUTHORED,work_45
author_16,AUTHORED,work_46
author_17,AUTHORED,work_47
author_18,AUTHORED,work_47
author_18,AUTHORED,work_48
author_19,AUTHORED,work_48
author_20,AUTHORED,work_48
author_19,AUTHORED,work_49
author_20,AUTHORED,work_50
author_21,AUTHORED,work_50
author_21,AUTHORED,work_51
author_22,AUTHORED,work_51
author_23,AUTHORED,work_51
author_22,AUTHORED,work_52
author_23,AUTHORED,work_53
author_24,AUTHORED,work_53
author_24,AUTHORED,work_54
author_25,AUTHORED,work_54
author_26,AUTHORED,work_54
author_25,AUTHORED,work_55
author_26,AUTHORED,work_56
author_27,AUTHORED,work_56
author_27,AUTHORED,work_57
author_28,AUTHORED,work_57
author_29,AUTHORED,work_57
author_28,AUTHORED,work_58
author_29,AUTHORED,work_59
author_30,AUTHORED,work_59
author_30,AUTHORED,work_60
