:ID,title,year,research_area,publication_type,:LABEL
work_1,Computational Analysis of Digital Texts: Study 1,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_2,Computational Analysis of Digital Texts: Study 2,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_3,Computational Analysis of Digital Texts: Study 3,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_4,Computational Analysis of Digital Texts: Study 4,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_5,Computational Analysis of Digital Texts: Study 5,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_6,Computational Analysis of Digital Texts: Study 6,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_7,Computational Analysis of Digital Texts: Study 7,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_8,Computational Analysis of Digital Texts: Study 8,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_9,Computational Analysis of Digital Texts: Study 9,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_10,Computational Analysis of Digital Texts: Study 10,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_11,Computational Analysis of Digital Texts: Study 11,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_12,Computational Analysis of Digital Texts: Study 12,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_13,Computational Analysis of Digital Texts: Study 13,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_14,Computational Analysis of Digital Texts: Study 14,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_15,Computational Analysis of Digital Texts: Study 15,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_16,Computational Analysis of Digital Texts: Study 16,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_17,Computational Analysis of Digital Texts: Study 17,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_18,Computational Analysis of Digital Texts: Study 18,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_19,Computational Analysis of Digital Texts: Study 19,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_20,Computational Analysis of Digital Texts: Study 20,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_21,Computational Analysis of Digital Texts: Study 21,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_22,Computational Analysis of Digital Texts: Study 22,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_23,Computational Analysis of Digital Texts: Study 23,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_24,Computational Analysis of Digital Texts: Study 24,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_25,Computational Analysis of Digital Texts: Study 25,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_26,Computational Analysis of Digital Texts: Study 26,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_27,Computational Analysis of Digital Texts: Study 27,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_28,Computational Analysis of Digital Texts: Study 28,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_29,Computational Analysis of Digital Texts: Study 29,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_30,Computational Analysis of Digital Texts: Study 30,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_31,Computational Analysis of Digital Texts: Study 31,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_32,Computational Analysis of Digital Texts: Study 32,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_33,Computational Analysis of Digital Texts: Study 33,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_34,Computational Analysis of Digital Texts: Study 34,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_35,Computational Analysis of Digital Texts: Study 35,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_36,Computational Analysis of Digital Texts: Study 36,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_37,Computational Analysis of Digital Texts: Study 37,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_38,Computational Analysis of Digital Texts: Study 38,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_39,Computational Analysis of Digital Texts: Study 39,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_40,Computational Analysis of Digital Texts: Study 40,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_41,Computational Analysis of Digital Texts: Study 41,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_42,Computational Analysis of Digital Texts: Study 42,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_43,Computational Analysis of Digital Texts: Study 43,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_44,Computational Analysis of Digital Texts: Study 44,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_45,Computational Analysis of Digital Texts: Study 45,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_46,Computational Analysis of Digital Texts: Study 46,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_47,Computational Analysis of Digital Texts: Study 47,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_48,Computational Analysis of Digital Texts: Study 48,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_49,Computational Analysis of Digital Texts: Study 49,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_50,Computational Analysis of Digital Texts: Study 50,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_51,Computational Analysis of Digital Texts: Study 51,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_52,Computational Analysis of Digital Texts: Study 52,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_53,Computational Analysis of Digital Texts: Study 53,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_54,Computational Analysis of Digital Texts: Study 54,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_55,Computational Analysis of Digital Texts: Study 55,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_56,Computational Analysis of Digital Texts: Study 56,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_57,Computational Analysis of Digital Texts: Study 57,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_58,Computational Analysis of Digital Texts: Study 58,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_59,Computational Analysis of Digital Texts: Study 59,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_60,Computational Analysis of Digital Texts: Study 60,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_61,Computational Analysis of Digital Texts: Study 61,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_62,Computational Analysis of Digital Texts: Study 62,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_63,Computational Analysis of Digital Texts: Study 63,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_64,Computational Analysis of Digital Texts: Study 64,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_65,Computational Analysis of Digital Texts: Study 65,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_66,Computational Analysis of Digital Texts: Study 66,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_67,Computational Analysis of Digital Texts: Study 67,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_68,Computational Analysis of Digital Texts: Study 68,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_69,Computational Analysis of Digital Texts: Study 69,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_70,Computational Analysis of Digital Texts: Study 70,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_71,Computational Analysis of Digital Texts: Study 71,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_72,Computational Analysis of Digital Texts: Study 72,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_73,Computational Analysis of Digital Texts: Study 73,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_74,Computational Analysis of Digital Texts: Study 74,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_75,Computational Analysis of Digital Texts: Study 75,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_76,Computational Analysis of Digital Texts: Study 76,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_77,Computational Analysis of Digital Texts: Study 77,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_78,Computational Analysis of Digital Texts: Study 78,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_79,Computational Analysis of Digital Texts: Study 79,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_80,Computational Analysis of Digital Texts: Study 80,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_81,Computational Analysis of Digital Texts: Study 81,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_82,Computational Analysis of Digital Texts: Study 82,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_83,Computational Analysis of Digital Texts: Study 83,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_84,Computational Analysis of Digital Texts: Study 84,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_85,Computational Analysis of Digital Texts: Study 85,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_86,Computational Analysis of Digital Texts: Study 86,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_87,Computational Analysis of Digital Texts: Study 87,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_88,Computational Analysis of Digital Texts: Study 88,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_89,Computational Analysis of Digital Texts: Study 89,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_90,Computational Analysis of Digital Texts: Study 90,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_91,Computational Analysis of Digital Texts: Study 91,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_92,Computational Analysis of Digital Texts: Study 92,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_93,Computational Analysis of Digital Texts: Study 93,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_94,Computational Analysis of Digital Texts: Study 94,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_95,Computational Analysis of Digital Texts: Study 95,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_96,Computational Analysis of Digital Texts: Study 96,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_97,Computational Analysis of Digital Texts: Study 97,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_98,Computational Analysis of Digital Texts: Study 98,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_99,Computational Analysis of Digital Texts: Study 99,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_100,Computational Analysis of Digital Texts: Study 100,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_101,Computational Analysis of Digital Texts: Study 101,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_102,Computational Analysis of Digital Texts: Study 102,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_103,Computational Analysis of Digital Texts: Study 103,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_104,Computational Analysis of Digital Texts: Study 104,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_105,Computational Analysis of Digital Texts: Study 105,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_106,Computational Analysis of Digital Texts: Study 106,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_107,Computational Analysis of Digital Texts: Study 107,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_108,Computational Analysis of Digital Texts: Study 108,2024,Text Analysis,conference_paper,Entity;Work;Publication
work_109,Computational Analysis of Digital Texts: Study 109,2024,Text Analysis,conference_paper,Entity;Work;Publication
